ts,ax,ay,az,gx,gy,gz,label
76364,15,483,-354,4562,-21591,16235,walking
76384,43,507,-419,-565,-18661,30334,walking
76404,109,595,-465,-21972,-28976,-27023,walking
76424,130,758,-498,-15747,-26169,-29343,walking
76444,134,858,-432,-8911,28137,13000,walking
76464,296,978,-385,11230,20812,4394,walking
76484,416,1090,-331,-30869,6958,-7446,walking
76504,490,1181,-297,-168,11047,-17395,walking
76524,484,1238,-379,10696,-21713,-1647,walking
76544,300,1335,-420,29418,15701,-6347,walking
76564,210,1218,-464,11520,-31341,-23193,walking
76584,186,1110,-381,12176,-27618,-6591,walking
76604,241,934,-309,22430,16006,1464,walking
76624,125,769,-194,31463,-8408,-15625,walking
76644,81,524,-69,-30716,-12436,9765,walking
76664,52,718,-88,-3555,-13107,29357,walking
76684,92,963,-105,-23742,30700,-28000,walking
76704,118,1180,-227,-29418,23193,27038,walking
76724,124,1147,-271,-32516,-19409,-4455,walking
76744,130,1017,-257,-30319,27023,32272,walking
76764,166,912,-180,5692,2182,-25146,walking
76784,183,954,-173,-15182,9995,-30090,walking
76804,204,929,-260,-19943,-10635,27756,walking
76824,271,871,-335,-23972,-7339,28732,walking
76844,280,833,-226,-14694,-15518,-30151,walking
76864,236,780,-199,28381,2182,-30456,walking
76884,225,769,-352,5981,8774,-29052,walking
76904,204,692,-495,6591,6943,-14221,walking
76924,111,555,-648,12023,-2335,6042,walking
76944,84,599,-590,26306,-3311,32653,walking
76964,66,832,-452,14526,16586,-24216,walking
76984,67,1075,-432,4516,-22766,32165,walking
77004,67,1262,-463,-11901,-5004,-3723,walking
77024,55,1356,-436,-19042,-15686,-16296,walking
77044,49,1255,-393,-17700,-21606,-25390,walking
77064,0,1065,-369,-9033,-25695,-30029,walking
77084,-69,888,-388,8483,-25207,-22705,walking
77104,-8,842,-349,19226,-30639,-2990,walking
77124,-102,869,-323,-32333,19531,25634,walking
77144,-58,854,-486,18798,-7202,16357,walking
77164,-54,838,-570,-11291,-17333,8850,walking
77184,-6,816,-485,20568,26169,5859,walking
77204,3,829,-357,23132,-27832,-4211,walking
77224,-19,807,-350,-23361,-14526,-7934,walking
77244,-38,874,-380,7828,-6347,1037,walking
77264,-47,937,-434,-24094,3295,-9399,walking
77284,-41,898,-490,14038,8239,-6286,walking
77304,-22,891,-459,11230,15136,-4455,walking
77324,-7,910,-431,14465,22888,-7141,walking
77344,0,928,-451,2197,26123,-12512,walking
77364,-7,904,-489,-13305,29052,-17333,walking
77384,12,808,-446,32028,-32700,-19165,walking
77404,55,690,-418,24155,-21530,-15808,walking
77424,101,636,-518,-29785,-18600,-488,walking
77444,118,668,-618,-7629,-28488,14648,walking
77464,99,678,-641,-1037,28503,18920,walking
77484,83,767,-619,-305,29968,22155,walking
77504,115,906,-542,305,-31418,17395,walking
77524,224,1017,-409,12145,-32028,4638,walking
77544,292,1087,-310,-32700,24841,-6652,walking
